"","age_bin","stone_free_status","n","mobility_mean","mobility_sd","selfcare_mean","selfcare_sd","usual_act_mean","usual_act_sd","pain_mean","pain_sd","anxiety_mean","anxiety_sd","utility_mean","utility_sd"
"37","Aged 65-69","less4",3,1.33333333333333,0.577350269189626,1,0,1.66666666666667,0.577350269189626,2,1,1.66666666666667,0.577350269189626,0.796666666666667,0.176817231437814
"38","Aged 65-69","more4",14,1.35714285714286,0.497245158098847,1.21428571428571,0.578934223521839,1.71428571428571,0.611249845502127,2.07142857142857,0.730045911547372,1.64285714285714,0.744946343668492,0.765857142857143,0.131750847110315
"39","Aged 65-69","SF",3,1,0,1,0,1.33333333333333,0.577350269189626,2,0,1.33333333333333,0.577350269189626,0.803333333333333,0.0583123771881522
"40","Aged 70-74","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"41","Aged 70-74","more4",16,1.5,0.516397779494322,1.375,0.5,1.5625,0.629152869605896,1.9375,0.771902411793961,1.4375,0.51234753829798,0.764375,0.154624221905884
"42","Aged 70-74","SF",4,1.5,0.577350269189626,1.25,0.5,1.25,0.5,1.5,0.577350269189626,1,0,0.83775,0.114843008784456
"43","Aged 75-79","less4",2,2,0,1.5,0.707106781186548,2,1.4142135623731,2,1.4142135623731,2,0.7,0.56,NA
"44","Aged 75-79","more4",11,1.45454545454545,0.522232967867094,1.09090909090909,0.301511344577764,1.45454545454545,0.687551650952329,1.81818181818182,0.603022689155527,1.27272727272727,0.467099366496914,0.799727272727273,0.10242567149801
"45","Aged 75-79","SF",4,1.75,0.5,1,0,1.5,0.577350269189626,1.5,0.577350269189626,1.25,0.5,0.80425,0.0652654834758261
"46","Aged 80-84","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"47","Aged 80-84","more4",11,1.72727272727273,0.467099366496914,1.3,0.483045891539648,1.81818181818182,0.603022689155527,2.18181818181818,0.873862897505303,1.63636363636364,0.504524979109513,0.7384,0.164183637024725
"48","Aged 80-84","SF",3,2,0,1.33333333333333,0.577350269189626,2,0,2.33333333333333,0.577350269189626,2.33333333333333,0.577350269189626,0.636666666666667,0.0435469095727049
"49","Aged 85-89","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"50","Aged 85-89","more4",5,1.6,0.547722557505166,1.4,0.547722557505166,1.6,0.547722557505166,2,1,1.2,0.447213595499958,0.7564,0.115718624257291
"51","Aged 85-89","SF",1,2,0.7,1,0.7,1,0.7,1,0.7,2,0.7,0.809,NA
"52","Aged 90 and over","less4",NA,1.54761904761905,0.7,1.14285714285714,0.7,1.71428571428571,0.7,2.26190476190476,0.7,1.80952380952381,0.7,NA,NA
"53","Aged 90 and over","more4",NA,1.4607059523236,0.7,1.22241633153398,0.7,1.67467120673003,0.7,1.94752820821706,0.7,1.54388480153186,0.7,NA,NA
"54","Aged 90 and over","SF",NA,1.40892857142857,0.7,1.08554421768707,0.7,1.44192176870748,0.7,1.60595238095238,0.7,1.56768707482993,0.7,NA,NA
